bot_count,nc_cycle_s,nc_thr_hr,nc_util,nc_coll_pct,nc_tasks,ca_cycle_s,ca_thr_hr,ca_util,ca_coll_pct,ca_tasks,cycle_penalty,thr_penalty
2,506.04,35.32,0.9939,0.0000,2000,514.46,34.75,0.9939,0.0115,2000,1.0166,0.9840
5,320.52,88.54,0.9875,0.0000,2000,334.11,85.17,0.9899,0.0388,2000,1.0424,0.9620
10,259.85,175.53,0.9770,0.0000,2000,283.74,160.86,0.9780,0.0756,2000,1.0919,0.9164
15,241.38,260.98,0.9752,0.0000,2000,271.92,231.23,0.9732,0.1030,2000,1.1265,0.8860
20,227.81,349.14,0.9637,0.0000,2000,267.82,296.19,0.9610,0.1271,2000,1.1756,0.8484
30,215.42,520.15,0.9468,0.0000,2000,271.64,414.80,0.9526,0.1651,2000,1.2610,0.7975
40,212.13,674.56,0.9282,0.0000,2000,278.89,514.34,0.9303,0.1881,2000,1.3147,0.7625
50,205.85,826.06,0.8950,0.0000,2000,283.19,618.59,0.9223,0.2050,2000,1.3757,0.7488
75,200.34,1207.07,0.8652,0.0000,2000,304.87,817.18,0.8910,0.2409,2000,1.5218,0.6770
100,195.66,1507.16,0.7995,0.0000,2000,314.81,996.31,0.8497,0.2604,2000,1.6089,0.6610
150,187.86,454.28,0.1658,0.0000,1992,337.36,485.30,0.3048,0.1637,1996,1.7958,1.0683
200,179.70,2.61,0.5494,0.0000,1451,350.08,2.33,0.7035,0.0007,1297,1.9481,0.8939
